StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Gender,Age,Education,Experience,SUS Website_1,SUS Website_2,SUS Website_3,SUS Website_4,SUS Website_5,SUS Website_6,SUS Website_7,SUS Website_8,SUS Website_9,SUS Website_10,SUS 2FA_1,SUS 2FA_2,SUS 2FA_3,SUS 2FA_4,SUS 2FA_5,SUS 2FA_6,SUS 2FA_7,SUS 2FA_8,SUS 2FA_9,SUS 2FA_10
2018-03-28 11:54:52,2018-03-28 12:04:21,IP Address,128.187.83.18,100,569,True,2018-03-28 12:04:22,R_1GymFdsTqegScFh,,,,,40.356292724609,-111.73249816895,anonymous,EN,2 (TOTP),Male,20-29,"Some College, No Degree",Far above average,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-28 12:30:46,2018-03-28 12:32:43,IP Address,128.187.83.18,100,117,True,2018-03-28 12:32:45,R_33BAtxsKywKY21X,,,,,40.356292724609,-111.73249816895,anonymous,EN,3 (Printed Codes),Male,20-29,Associate Degree,Far above average,Neutral,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree
2018-03-28 13:28:46,2018-03-28 13:30:53,IP Address,128.187.83.18,100,126,True,2018-03-28 13:30:54,R_3Oel52bRt5LGocP,,,,,40.356292724609,-111.73249816895,anonymous,EN,1 (SMS),Male,20-29,"Some College, No Degree",Somewhat above average,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Disagree
2018-03-28 14:01:29,2018-03-28 14:04:13,IP Address,128.187.83.18,100,164,True,2018-03-28 14:04:14,R_RQ6E8J2zCUjk5Ed,,,,,40.356292724609,-111.73249816895,anonymous,EN,2 (TOTP),Female,20-29,"Some College, No Degree",Average,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
2018-03-28 15:30:56,2018-03-28 15:32:50,IP Address,128.187.83.18,100,113,True,2018-03-28 15:32:51,R_2AEAihLrIGfDdw5,,,,,40.356292724609,-111.73249816895,anonymous,EN,2 (TOTP),Female,20-29,"Some College, No Degree",Average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree
2018-03-29 10:00:53,2018-03-29 10:03:21,IP Address,128.187.83.18,100,147,True,2018-03-29 10:03:22,R_24dQnE7ZmIuzYsq,,,,,40.356292724609,-111.73249816895,anonymous,EN,1 (SMS),Male,20-29,Associate Degree,Average,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree
2018-03-29 11:34:13,2018-03-29 11:36:06,IP Address,128.187.83.18,100,113,True,2018-03-29 11:36:07,R_2SCwjCq1YOReyCB,,,,,40.356292724609,-111.73249816895,anonymous,EN,2 (TOTP),Female,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree
2018-03-29 11:59:11,2018-03-29 12:02:44,IP Address,128.187.83.18,100,212,True,2018-03-29 12:02:45,R_2TAiIApinPMVnjF,,,,,40.356292724609,-111.73249816895,anonymous,EN,5 (Push),Male,30-39,Associate Degree,Somewhat above average,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-29 13:30:19,2018-03-29 13:31:58,IP Address,128.187.83.18,100,98,True,2018-03-29 13:31:59,R_1I5BumHDfCybP9P,,,,,40.356292724609,-111.73249816895,anonymous,EN,2 (TOTP),Female,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-29 14:04:30,2018-03-29 14:06:01,IP Address,128.187.83.18,100,90,True,2018-03-29 14:06:02,R_24OQGLTOJ1XT9P0,,,,,40.356292724609,-111.73249816895,anonymous,EN,6 (Password),Male,20-29,Associate Degree,Far above average,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree
2018-03-29 14:15:38,2018-03-29 14:18:19,IP Address,128.187.83.18,100,161,True,2018-03-29 14:18:20,R_9B6VZTsJyvT4ejv,,,,,40.356292724609,-111.73249816895,anonymous,EN,5 (Push),Male,20-29,"Some College, No Degree",Somewhat above average,Neutral,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-03-29 16:00:03,2018-03-29 16:01:50,IP Address,128.187.83.18,100,107,True,2018-03-29 16:01:51,R_ePVOTO0Xojnor8R,,,,,40.356292724609,-111.73249816895,anonymous,EN,5 (Push),Male,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Disagree
2018-03-29 16:23:33,2018-03-29 16:24:55,IP Address,128.187.83.18,100,82,True,2018-03-29 16:24:57,R_3Ms42c4vGGqtv2S,,,,,40.356292724609,-111.73249816895,anonymous,EN,3 (Printed Codes),Male,20-29,"Some College, No Degree",Far above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree
2018-03-30 10:05:44,2018-03-30 10:07:50,IP Address,128.187.83.18,100,125,True,2018-03-30 10:07:51,R_272b0nsnxRXhnmX,,,,,40.356292724609,-111.73249816895,anonymous,EN,5 (Push),Female,20-29,"Some College, No Degree",Far above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-30 10:20:39,2018-03-30 10:22:30,IP Address,128.187.83.18,100,111,True,2018-03-30 10:22:31,R_Rte37YeelyQU8jD,,,,,40.356292724609,-111.73249816895,anonymous,EN,1 (SMS),Male,20-29,Associate Degree,Average,Agree,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-03-30 11:00:45,2018-03-30 11:04:17,IP Address,128.187.83.18,100,211,True,2018-03-30 11:04:18,R_2ePhgDU7C6S9qRW,,,,,40.356292724609,-111.73249816895,anonymous,EN,1 (SMS),Male,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-03-30 12:30:58,2018-03-30 12:33:08,IP Address,128.187.83.18,100,130,True,2018-03-30 12:33:11,R_CgKd0umnbaLwODT,,,,,40.356292724609,-111.73249816895,anonymous,EN,5 (Push),Male,20-29,"Some College, No Degree",Far above average,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-30 13:00:22,2018-03-30 13:02:42,IP Address,128.187.83.18,100,139,True,2018-03-30 13:02:43,R_2S7RebZx40SaYyZ,,,,,40.356292724609,-111.73249816895,anonymous,EN,5 (Push),Female,20-29,Bachelor Degree,Somewhat above average,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-30 13:13:20,2018-03-30 13:15:23,IP Address,128.187.83.18,100,122,True,2018-03-30 13:15:24,R_2q4uULwFhsUnkZS,,,,,40.356292724609,-111.73249816895,anonymous,EN,5 (Push),Male,20-29,"Some College, No Degree",Somewhat above average,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree
2018-03-30 13:30:14,2018-03-30 13:32:13,IP Address,128.187.83.18,100,118,True,2018-03-30 13:32:14,R_30lfHRKEPtjghTn,,,,,40.356292724609,-111.73249816895,anonymous,EN,1 (SMS),Female,20-29,"Some College, No Degree",Somewhat above average,Neutral,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Agree,Strongly Disagree
2018-03-30 13:53:08,2018-03-30 13:55:54,IP Address,128.187.83.18,100,166,True,2018-03-30 13:55:55,R_1kHaDFLW9dvcXYY,,,,,40.356292724609,-111.73249816895,anonymous,EN,3 (Printed Codes),Female,20-29,Masters Degree,Average,Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree
2018-03-30 14:37:02,2018-03-30 14:38:55,IP Address,128.187.83.18,100,112,True,2018-03-30 14:38:56,R_2VdW5yvWmGC5n6R,,,,,40.356292724609,-111.73249816895,anonymous,EN,5 (Push),Female,20-29,Bachelor Degree,Average,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree
2018-04-02 08:57:44,2018-04-02 08:59:41,IP Address,128.187.83.18,100,116,True,2018-04-02 08:59:42,R_AyvOdO8tATf3wyJ,,,,,40.356292724609,-111.73249816895,anonymous,EN,3 (Printed Codes),Female,30-39,Bachelor Degree,Average,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree
2018-04-02 09:32:33,2018-04-02 09:33:59,IP Address,128.187.83.18,100,86,True,2018-04-02 09:34:00,R_1jNzItYCSUe8SRH,,,,,40.356292724609,-111.73249816895,anonymous,EN,5 (Push),Female,20-29,Bachelor Degree,Somewhat above average,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree
2018-04-02 11:01:05,2018-04-02 11:03:29,IP Address,128.187.83.18,100,144,True,2018-04-02 11:03:30,R_3gTSl54vDkz46DH,,,,,40.356292724609,-111.73249816895,anonymous,EN,4 (U2F),Male,20-29,"Some College, No Degree",Average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree
2018-04-02 11:30:28,2018-04-02 11:33:35,IP Address,128.187.83.18,100,187,True,2018-04-02 11:33:36,R_2xPC41yFgUGnAXq,,,,,40.356292724609,-111.73249816895,anonymous,EN,2 (TOTP),Male,20-29,"Some College, No Degree",Far above average,Agree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-04-02 11:59:07,2018-04-02 12:00:35,IP Address,128.187.83.18,100,88,True,2018-04-02 12:00:36,R_1I41Na4LtAh9bBG,,,,,40.356292724609,-111.73249816895,anonymous,EN,4 (U2F),Female,18-19,"Some College, No Degree",Average,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
2018-04-02 12:31:22,2018-04-02 12:32:51,IP Address,128.187.83.18,100,88,True,2018-04-02 12:32:52,R_1gLT1OZngDWZ79K,,,,,40.356292724609,-111.73249816895,anonymous,EN,1 (SMS),Female,20-29,"Some College, No Degree",Average,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-04-02 12:53:06,2018-04-02 12:55:44,IP Address,128.187.83.18,100,157,True,2018-04-02 12:55:46,R_27cVg30SM5jlVE9,,,,,40.356292724609,-111.73249816895,anonymous,EN,4 (U2F),Female,20-29,"Some College, No Degree",Somewhat below average,Disagree,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree
2018-04-02 13:08:08,2018-04-02 13:09:49,IP Address,128.187.83.18,100,101,True,2018-04-02 13:09:50,R_1exELyaqKlBxVLE,,,,,40.356292724609,-111.73249816895,anonymous,EN,4 (U2F),Female,20-29,"Some College, No Degree",Average,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Agree,,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-04-02 13:34:32,2018-04-02 13:36:05,IP Address,128.187.83.18,100,92,True,2018-04-02 13:36:06,R_1OqN1kWhNnroS8U,,,,,40.356292724609,-111.73249816895,anonymous,EN,3 (Printed Codes),Male,20-29,Associate Degree,Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree
2018-04-02 13:57:07,2018-04-02 13:59:01,IP Address,128.187.83.18,100,114,True,2018-04-02 13:59:03,R_4T2KKcPSW3bcAut,,,,,40.356292724609,-111.73249816895,anonymous,EN,4 (U2F),Male,20-29,"Some College, No Degree",Somewhat above average,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
