StartDate,EndDate,Status,Q8,Gender,Age,Education,Experience,SUS Website_1,SUS Website_2,SUS Website_3,SUS Website_4,SUS Website_5,SUS Website_6,SUS Website_7,SUS Website_8,SUS Website_9,SUS Website_10,SUS 2FA_1,SUS 2FA_2,SUS 2FA_3,SUS 2FA_4,SUS 2FA_5,SUS 2FA_6,SUS 2FA_7,SUS 2FA_8,SUS 2FA_9,SUS 2FA_10
2018-03-28 12:30:46,2018-03-28 12:32:43,IP Address,3 (Printed Codes),Male,20-29,Associate Degree,Far above average,Neutral,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree
2018-03-28 13:28:46,2018-03-28 13:30:53,IP Address,1 (SMS),Male,20-29,"Some College, No Degree",Somewhat above average,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Disagree
2018-03-28 14:01:29,2018-03-28 14:04:13,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Average,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
2018-03-28 15:30:56,2018-03-28 15:32:50,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree
2018-03-29 10:00:53,2018-03-29 10:03:21,IP Address,1 (SMS),Male,20-29,Associate Degree,Average,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree
2018-03-29 11:34:13,2018-03-29 11:36:06,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree
2018-03-29 11:59:11,2018-03-29 12:02:44,IP Address,5 (Push),Male,30-39,Associate Degree,Somewhat above average,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-29 13:30:19,2018-03-29 13:31:58,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-29 14:04:30,2018-03-29 14:06:01,IP Address,6 (Password),Male,20-29,Associate Degree,Far above average,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree
2018-03-29 14:15:38,2018-03-29 14:18:19,IP Address,5 (Push),Male,20-29,"Some College, No Degree",Somewhat above average,Neutral,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-03-29 16:00:03,2018-03-29 16:01:50,IP Address,5 (Push),Male,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Disagree
2018-03-29 16:23:33,2018-03-29 16:24:55,IP Address,3 (Printed Codes),Male,20-29,"Some College, No Degree",Far above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree
2018-03-30 10:05:44,2018-03-30 10:07:50,IP Address,5 (Push),Female,20-29,"Some College, No Degree",Far above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-30 10:20:39,2018-03-30 10:22:30,IP Address,1 (SMS),Male,20-29,Associate Degree,Average,Agree,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-03-30 11:00:45,2018-03-30 11:04:17,IP Address,1 (SMS),Male,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-03-30 12:30:58,2018-03-30 12:33:08,IP Address,5 (Push),Male,20-29,"Some College, No Degree",Far above average,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-30 13:00:22,2018-03-30 13:02:42,IP Address,5 (Push),Female,20-29,Bachelor Degree,Somewhat above average,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-30 13:13:20,2018-03-30 13:15:23,IP Address,5 (Push),Male,20-29,"Some College, No Degree",Somewhat above average,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree
2018-03-30 13:30:14,2018-03-30 13:32:13,IP Address,1 (SMS),Female,20-29,"Some College, No Degree",Somewhat above average,Neutral,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Agree,Strongly Disagree
2018-03-30 13:53:08,2018-03-30 13:55:54,IP Address,3 (Printed Codes),Female,20-29,Masters Degree,Average,Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree
2018-03-30 14:37:02,2018-03-30 14:38:55,IP Address,5 (Push),Female,20-29,Bachelor Degree,Average,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree
2018-04-02 08:57:44,2018-04-02 08:59:41,IP Address,3 (Printed Codes),Female,30-39,Bachelor Degree,Average,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree
2018-04-02 09:32:33,2018-04-02 09:33:59,IP Address,5 (Push),Female,20-29,Bachelor Degree,Somewhat above average,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree
2018-04-02 11:01:05,2018-04-02 11:03:29,IP Address,4 (U2F),Male,20-29,"Some College, No Degree",Average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree
2018-04-02 11:30:28,2018-04-02 11:33:35,IP Address,2 (TOTP),Male,20-29,"Some College, No Degree",Far above average,Agree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-04-02 11:59:07,2018-04-02 12:00:35,IP Address,4 (U2F),Female,18-19,"Some College, No Degree",Average,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
2018-04-02 12:31:22,2018-04-02 12:32:51,IP Address,1 (SMS),Female,20-29,"Some College, No Degree",Average,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-04-02 12:53:06,2018-04-02 12:55:44,IP Address,4 (U2F),Female,20-29,"Some College, No Degree",Somewhat below average,Disagree,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree
2018-04-02 13:08:08,2018-04-02 13:09:49,IP Address,4 (U2F),Female,20-29,"Some College, No Degree",Average,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Agree,,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-04-02 13:34:32,2018-04-02 13:36:05,IP Address,3 (Printed Codes),Male,20-29,Associate Degree,Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree
2018-04-02 13:57:07,2018-04-02 13:59:01,IP Address,4 (U2F),Male,20-29,"Some College, No Degree",Somewhat above average,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-04-02 15:02:33,2018-04-02 15:05:05,IP Address,1 (SMS),Female,20-29,"Some College, No Degree",Far above average,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
2018-04-03 09:32:42,2018-04-03 09:35:00,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
2018-04-03 10:29:54,2018-04-03 10:31:47,IP Address,4 (U2F),Male,20-29,"Some College, No Degree",Somewhat above average,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Strongly Disagree,Disagree
2018-04-03 12:56:07,2018-04-03 12:57:21,IP Address,5 (Push),Female,20-29,Masters Degree,Far above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree
2018-04-03 13:29:35,2018-04-03 13:31:10,IP Address,1 (SMS),Female,20-29,"Some College, No Degree",Average,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree
2018-04-03 14:01:58,2018-04-03 14:04:10,IP Address,3 (Printed Codes),Female,20-29,"Some College, No Degree",Average,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree
2018-04-03 15:03:39,2018-04-03 15:06:15,IP Address,1 (SMS),Male,20-29,"Some College, No Degree",Average,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree
2018-04-03 15:31:11,2018-04-03 15:33:35,IP Address,3 (Printed Codes),Male,20-29,Bachelor Degree,Far above average,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree
2018-04-04 10:42:05,2018-04-04 10:43:48,IP Address,4 (U2F),Female,20-29,"Some College, No Degree",Average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree
2018-04-04 11:05:25,2018-04-04 11:07:38,IP Address,4 (U2F),Male,20-29,"Some College, No Degree",Far above average,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree
2018-04-04 11:19:39,2018-04-04 11:21:15,IP Address,6 (Password),Female,20-29,Bachelor Degree,Average,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-04-04 12:00:28,2018-04-04 12:03:01,IP Address,3 (Printed Codes),Female,20-29,Associate Degree,Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-04-04 12:57:45,2018-04-04 13:00:16,IP Address,6 (Password),Female,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-04-04 14:26:23,2018-04-04 14:28:45,IP Address,6 (Password),Female,20-29,"Some College, No Degree",Somewhat above average,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree
2018-04-04 15:23:29,2018-04-04 15:25:12,IP Address,6 (Password),Male,20-29,"Some College, No Degree",Somewhat above average,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-04-04 15:32:21,2018-04-04 15:34:19,IP Address,6 (Password),Male,18-19,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-04-05 10:05:35,2018-04-05 10:07:11,IP Address,4 (U2F),Male,30-39,Bachelor Degree,Somewhat above average,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-04-05 10:31:38,2018-04-05 10:34:02,IP Address,1 (SMS),Female,30-39,"Some College, No Degree",Average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree
2018-04-05 11:28:54,2018-04-05 11:31:12,IP Address,6 (Password),Female,20-29,"Some College, No Degree",Somewhat above average,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-04-05 11:59:39,2018-04-05 12:01:40,IP Address,3 (Printed Codes),Female,20-29,"Some College, No Degree",Average,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree
